Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","11,226.19","11,218.28","11,795.30","12,796.75","13,862.97","15,066.67","16,340.87","17,706.63",2016
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",291.53,282.357,306.439,322.663,340.998,360.226,380.31,401.707,2016
Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.589,0.62,0.654,0.696,0.745,0.798,0.847,0.902,2015
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.496,41.615,41.098,42.305,44.234,46.363,49.211,52.724,2015
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.554,7.955,8.341,9.21,9.56,10.281,11.133,11.337,2014
Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",55.475,58.109,59.796,63.502,67.495,72.101,77.461,83.391,2015
Côte d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",32.764,35.489,36.873,40.192,43.927,47.924,52.075,56.225,2014
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",48.676,50.441,50.084,51.767,53.784,55.936,58.002,60.096,2015
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.57,19.81,19.648,20.333,21.147,21.961,22.73,23.494,2016
Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",185.156,192.991,196.068,208.403,219.988,232.304,244.491,256.516,2015
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",301.308,306.73,304.216,312.759,324.54,337.353,350.31,363.475,2015
Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.727,1.894,2.088,2.301,2.536,2.769,3.023,3.3,2014
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.517,0.52,0.539,0.558,0.579,0.601,0.623,0.645,2015
Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",68.197,72.194,76.85,81.653,86.568,91.779,97.304,103.161,2016
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",100.177,98.01,97.362,97.419,98.21,100.135,102.763,105.754,2015
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",332.075,332.349,n/a,n/a,n/a,n/a,n/a,n/a,2016
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.85,26.709,27.548,28.886,30.186,31.513,32.923,34.434,2016
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.819,11.636,11.686,11.465,11.418,11.542,11.846,12.173,2014
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.666,5.352,6.051,6.858,7.768,8.139,9.293,10.624,2006
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.472,23.13,23.422,24.763,26.199,27.759,29.365,31.005,2016
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64.683,72.523,78.384,83.706,90.651,98.177,106.242,114.894,2016
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.391,4.64,4.869,5.11,5.352,5.603,5.869,6.144,2015
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",232.479,236.883,234.524,241.066,249.52,258.509,266.991,274.978,2016
France,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,420.16","2,463.22","2,420.44","2,483.20","2,562.28","2,650.24","2,734.10","2,815.34",2016
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.37,14.273,14.208,14.619,15.399,16.251,17.282,18.358,2015
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.892,0.965,1.041,1.104,1.172,1.246,1.327,1.417,2013
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.996,14.222,13.723,14.852,15.977,17.28,18.773,20.414,2016
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,365.29","3,466.64","3,423.29","3,512.57","3,617.09","3,727.66","3,827.70","3,923.42",2015
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.375,43.264,42.753,46.915,50.02,53.476,57.483,61.885,2015
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",194.958,194.248,193.1,200.387,207.964,215.863,222.946,227.779,2016
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.984,1.027,1.089,1.144,1.199,1.257,1.318,1.381,2015
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.794,68.175,70.943,75.141,79.914,85.088,90.518,95.939,2015
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.738,6.512,6.936,7.365,7.932,8.47,9.037,9.59,2011
