Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Singapore,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",296.835,296.967,291.86,300.957,310.331,319.992,330.256,340.848,2016
Slovak Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",87.312,89.525,89.134,93.547,98.953,104.339,109.615,114.934,2015
Slovenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.798,44.009,43.503,45.164,47.062,48.909,50.65,52.317,2015
Solomon Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.13,1.184,1.245,1.308,1.382,1.468,1.56,1.662,2014
South Africa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",314.732,294.132,317.568,326.967,339.846,353.409,366.86,380.425,2016
South Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.485,2.914,4.812,4.722,5.073,5.452,5.639,5.991,2014
Spain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,193.56","1,232.60","1,232.44","1,272.62","1,320.08","1,368.15","1,411.76","1,451.81",2016
Sri Lanka,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",81.247,82.615,84.023,86.607,93.383,100.942,109.082,117.735,2015
St. Kitts and Nevis,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.876,0.903,0.951,1.003,1.054,1.106,1.161,1.218,2014
St. Lucia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.431,1.385,1.428,1.459,1.504,1.549,1.595,1.644,2016
St. Vincent and the Grenadines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.738,0.775,0.809,0.844,0.881,0.921,0.962,1.004,2016
Sudan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",81.444,94.421,115.874,138.09,162.649,190.282,221.263,255.386,2010
Suriname,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.879,3.57,3.641,4.007,4.188,4.259,4.4,4.542,2015
Swaziland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.929,3.77,3.938,4.016,4.09,4.165,4.231,4.298,2015
Sweden,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",495.694,511.397,507.046,530.997,554.94,578.415,603.349,629.383,2015
Switzerland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",670.656,659.85,659.368,672.766,688.506,705.344,721.355,737.014,2016
Syria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",525.236,528.55,566.757,580.392,594.998,614.897,636.116,655.412,2015
Tajikistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.857,6.922,7.242,7.64,8.22,8.908,9.652,10.524,2014
Tanzania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",45.634,47.184,51.194,55.666,60.605,65.837,71.488,77.625,2015
Thailand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",399.219,406.949,432.898,458.876,486.47,512.919,539.34,519.05,2016
Timor-Leste,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.874,2.498,2.727,2.91,2.996,3.165,3.35,3.63,2014
Togo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.165,4.434,4.554,4.876,5.242,5.65,6.069,6.537,2014
Tonga,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.414,0.403,0.422,0.445,0.468,0.489,0.509,0.53,2014
Trinidad and Tobago,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.559,20.966,21.748,23.069,24.557,26.113,27.619,29.234,2016
Tunisia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",43.156,41.869,40.289,40.455,42.615,45.171,47.923,50.848,2014
Turkey,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",859.04,857.429,793.698,827.981,876.633,930.556,982.31,"1,031.52",2016
Turkmenistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",36.047,36.18,42.355,47.201,52.086,57.669,64.111,71.434,2015
Tuvalu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.033,0.034,0.036,0.037,0.039,0.04,0.042,0.043,2012
Uganda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",25.112,26.195,27.174,29.057,31.114,34.462,36.043,40.489,2014
Ukraine,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",90.939,93.263,95.934,102.278,112.17,122.586,134.347,148.103,2016
United Arab Emirates,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",370.296,371.353,407.21,435.7,458.561,484.744,512.223,541.051,2014
United Kingdom,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,863.30","2,629.19","2,496.76","2,543.41","2,607.85","2,689.84","2,780.86","2,873.37",2016
United States,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","18,036.65","18,569.10","19,417.14","20,351.77","21,239.30","22,063.04","22,886.24","23,760.33",2016
Uruguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.107,54.567,58.123,60.843,64.293,67.801,71.537,75.391,2016
Uzbekistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.403,66.502,68.324,71.824,75.553,79.742,83.804,87.924,2014
Vanuatu,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.738,0.773,0.829,0.886,0.944,1,1.06,1.123,2014
Venezuela,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",260.089,287.274,251.589,272.984,184.343,179.189,175.091,152.702,2015
Vietnam,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",191.288,201.326,215.829,232.559,250.439,269.94,291.285,314.193,2016
Yemen,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.734,27.318,27.189,30.648,32.465,34.97,37.452,39.842,2008
Zambia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.243,21.31,23.137,24.63,26.272,28.14,30.194,32.412,2015
Zimbabwe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.171,14.174,15.285,16.092,17.209,18.12,19.057,19.945,2013
